mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title
2.1,"57 km S of Whites City, New Mexico",1663109074376,1663175559317,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2022rzqh,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2022rzqh&format=geojson,,,,,reviewed,0,68,tx,2022rzqh,",tx2022rzqh,",",tx,",",origin,phase-data,",22.0,0.03887698889,0.2,59.0,ml,earthquake,"M 2.1 - 57 km S of Whites City, New Mexico"
3.0,"16km SW of Toms Place, CA",1663109065840,1663138211373,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73781266,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73781266&format=geojson,3.0,2.2,,,reviewed,0,139,nc,73781266,",nc73781266,nn00847080,us7000i7sh,",",nc,nn,us,",",dyfi,focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",37.0,0.1133,0.04,62.0,ml,earthquake,"M 3.0 - 16km SW of Toms Place, CA"
1.6,,1663108618234,1663123208897,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00847079,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00847079&format=geojson,,,,,reviewed,0,39,nn,00847079,",nn00847079,",",nn,",",origin,phase-data,",11.0,0.093,0.1573,135.06,ml,earthquake,M 1.6 - 
1.3,"9 km NNW of Mina, Nevada",1663108092226,1663123206587,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00847075,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00847075&format=geojson,,,,,reviewed,0,26,nn,00847075,",nn00847075,",",nn,",",origin,phase-data,",8.0,0.34,0.1201,136.95,ml,earthquake,"M 1.3 - 9 km NNW of Mina, Nevada"
1.75999999,"9 km SE of P?hala, Hawaii",1663107512560,1663107693730,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73139212,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73139212&format=geojson,,,,,automatic,0,48,hv,73139212,",hv73139212,",",hv,",",origin,phase-data,",33.0,,0.129999995,227.0,md,earthquake,"M 1.8 - 9 km SE of P?hala, Hawaii"
-0.06,Southern Alaska,1663106781870,1663126577280,,https://earthquake.usgs.gov/earthquakes/eventpage/av91071123,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91071123&format=geojson,,,,,reviewed,0,0,av,91071123,",av91071123,",",av,",",origin,phase-data,",8.0,,0.14,95.0,ml,earthquake,M -0.1 - Southern Alaska
4.6,"58 km WNW of Kirakira, Solomon Islands",1663106240913,1663112067040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000i7sc,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000i7sc&format=geojson,,,,,reviewed,0,326,us,7000i7sc,",us7000i7sc,",",us,",",origin,phase-data,",28.0,1.674,0.31,75.0,mb,earthquake,"M 4.6 - 58 km WNW of Kirakira, Solomon Islands"
1.5,"41 km ENE of Susitna North, Alaska",1663105944432,1663106045494,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022brqe58r,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022brqe58r&format=geojson,,,,,automatic,0,35,ak,022brqe58r,",ak022brqe58r,",",ak,",",origin,phase-data,",,,0.85,,ml,earthquake,"M 1.5 - 41 km ENE of Susitna North, Alaska"
0.59,"15km N of Warner Springs, CA",1663105935650,1663113024360,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40099943,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40099943&format=geojson,,,,,reviewed,0,5,ci,40099943,",ci40099943,",",ci,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",24.0,0.07561,0.12,56.0,ml,earthquake,"M 0.6 - 15km N of Warner Springs, CA"
3.7,"102 km N of Cruz Bay, U.S. Virgin Islands",1663105875110,1663110948040,,https://earthquake.usgs.gov/earthquakes/eventpage/pr2022256001,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2022256001&format=geojson,,,,,reviewed,0,211,pr,2022256001,",us7000i7s8,pr2022256001,",",us,pr,",",origin,phase-data,",16.0,0.95,0.26,294.0,md,earthquake,"M 3.7 - 102 km N of Cruz Bay, U.S. Virgin Islands"
3.1,"13 km SSE of Ivanof Bay, Alaska",1663105352476,1663110281040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000i7s7,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000i7s7&format=geojson,,,,,reviewed,0,148,us,7000i7s7,",us7000i7s7,",",us,",",origin,phase-data,",13.0,0.746,0.14,131.0,ml,earthquake,"M 3.1 - 13 km SSE of Ivanof Bay, Alaska"
0.42,Washington,1663105249120,1663111172760,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61879956,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61879956&format=geojson,,,,,reviewed,0,3,uw,61879956,",uw61879956,",",uw,",",origin,phase-data,",14.0,0.06278,0.12,121.0,ml,earthquake,M 0.4 - Washington
0.37,"2km NNE of The Geysers, CA",1663105171220,1663106653502,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73781251,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73781251&format=geojson,,,,,automatic,0,2,nc,73781251,",nc73781251,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",6.0,0.01254,0.01,211.0,md,earthquake,"M 0.4 - 2km NNE of The Geysers, CA"
0.31,"7 km ESE of Hebgen Lake Estates, Montana",1663104936140,1663106797660,,https://earthquake.usgs.gov/earthquakes/eventpage/uu60514872,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60514872&format=geojson,,,,,reviewed,0,1,uu,60514872,",uu60514872,",",uu,",",origin,phase-data,",9.0,0.05183,0.17,84.0,md,earthquake,"M 0.3 - 7 km ESE of Hebgen Lake Estates, Montana"
4.5,"68 km SE of Khonsa, India",1663104913933,1663109355040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000i7sb,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000i7sb&format=geojson,,,,,reviewed,0,312,us,7000i7sb,",us7000i7sb,",",us,",",origin,phase-data,",30.0,5.92,0.61,121.0,mb,earthquake,"M 4.5 - 68 km SE of Khonsa, India"
1.2,"8 km NW of Point Possession, Alaska",1663104828787,1663104915261,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022brqa4im,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022brqa4im&format=geojson,,,,,automatic,0,22,ak,022brqa4im,",ak022brqa4im,",",ak,",",origin,phase-data,",,,0.53,,ml,earthquake,"M 1.2 - 8 km NW of Point Possession, Alaska"
0.2,"6 km E of Hebgen Lake Estates, Montana",1663104828500,1663106364410,,https://earthquake.usgs.gov/earthquakes/eventpage/uu60514867,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60514867&format=geojson,,,,,reviewed,0,1,uu,60514867,",uu60514867,",",uu,",",origin,phase-data,",7.0,0.06396,0.21,179.0,md,earthquake,"M 0.2 - 6 km E of Hebgen Lake Estates, Montana"
1.75,"15 km SSE of Sunnyside, Utah",1663104498910,1663105868520,,https://earthquake.usgs.gov/earthquakes/eventpage/uu60514857,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60514857&format=geojson,,,,,reviewed,0,47,uu,60514857,",uu60514857,",",uu,",",origin,phase-data,",9.0,0.01469,0.13,196.0,md,earthquake,"M 1.8 - 15 km SSE of Sunnyside, Utah"
1.55,"8 km WSW of Home, Washington",1663104383170,1663110851330,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61879951,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61879951&format=geojson,,,,,reviewed,0,37,uw,61879951,",uw61879951,",",uw,",",origin,phase-data,",29.0,0.08537,0.31,84.0,ml,earthquake,"M 1.6 - 8 km WSW of Home, Washington"
1.83,"18 km N of P?hala, Hawaii",1663104300000,1663104631420,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73139177,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73139177&format=geojson,,,,,automatic,0,52,hv,73139177,",hv73139177,",",hv,",",origin,phase-data,",42.0,,0.209999993,60.0,ml,earthquake,"M 1.8 - 18 km N of P?hala, Hawaii"
0.72,"16km W of Searles Valley, CA",1663104112560,1663113447259,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40099927,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40099927&format=geojson,,,,,reviewed,0,8,ci,40099927,",ci40099927,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",9.0,0.0467,0.1,151.0,ml,earthquake,"M 0.7 - 16km W of Searles Valley, CA"
2.1,"55 km S of Whites City, New Mexico",1663103619318,1663106414326,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2022rznh,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2022rznh&format=geojson,,,,,reviewed,0,68,tx,2022rznh,",tx2022rznh,",",tx,",",origin,phase-data,",14.0,0.05492147379,0.2,56.0,ml,earthquake,"M 2.1 - 55 km S of Whites City, New Mexico"
1.82000005,"13 km E of P?hala, Hawaii",1663102173830,1663102385210,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73139157,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73139157&format=geojson,,,,,automatic,0,51,hv,73139157,",hv73139157,",",hv,",",origin,phase-data,",30.0,,0.109999999,216.0,md,earthquake,"M 1.8 - 13 km E of P?hala, Hawaii"
1.7,"32 km NNE of Whittier, Alaska",1663101792704,1663101954572,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022brpqrae,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022brpqrae&format=geojson,,,,,automatic,0,44,ak,022brpqrae,",ak022brpqrae,",",ak,",",origin,phase-data,",,,0.72,,ml,earthquake,"M 1.7 - 32 km NNE of Whittier, Alaska"
0.96,"2km E of Home Gardens, CA",1663101370980,1663103065657,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40099919,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40099919&format=geojson,,,,,reviewed,0,14,ci,40099919,",ci40099919,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",24.0,0.05415,0.23,109.0,ml,quarry blast,"M 1.0 Quarry Blast - 2km E of Home Gardens, CA"
2.7,"57 km S of Whites City, New Mexico",1663101327255,1663250618040,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2022rzma,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2022rzma&format=geojson,,,,,reviewed,0,112,tx,2022rzma,",us7000i7rj,tx2022rzma,",",us,tx,",",origin,phase-data,",20.0,0.1105408731,0.2,68.0,ml,earthquake,"M 2.7 - 57 km S of Whites City, New Mexico"
5.1,South Sandwich Islands region,1663101165628,1663250980040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000i7rn,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000i7rn&format=geojson,,,,,reviewed,0,400,us,7000i7rn,",us7000i7rn,",",us,",",origin,phase-data,",52.0,6.617,0.79,92.0,mb,earthquake,M 5.1 - South Sandwich Islands region
1.84,"14 km SSE of Sunnyside, Utah",1663100700210,1663102695510,,https://earthquake.usgs.gov/earthquakes/eventpage/uu60031204,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60031204&format=geojson,,,,,reviewed,0,52,uu,60031204,",uu60031204,",",uu,",",origin,phase-data,",5.0,0.007557,0.04,165.0,md,earthquake,"M 1.8 - 14 km SSE of Sunnyside, Utah"
0.25,"8km NW of The Geysers, CA",1663100451110,1663106051275,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73781241,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73781241&format=geojson,,,,,reviewed,0,1,nc,73781241,",nc73781241,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",12.0,0.006924,0.02,74.0,md,earthquake,"M 0.3 - 8km NW of The Geysers, CA"
1.91,"4 km SE of La Parguera, Puerto Rico",1663100207340,1663100722370,,https://earthquake.usgs.gov/earthquakes/eventpage/pr71371568,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr71371568&format=geojson,,,,,reviewed,0,56,pr,71371568,",pr71371568,",",pr,",",origin,phase-data,",5.0,,0.05,270.0,md,earthquake,"M 1.9 - 4 km SE of La Parguera, Puerto Rico"
1.6,"67 km W of Tyonek, Alaska",1663100168497,1663251963040,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022brpkyls,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022brpkyls&format=geojson,,,,,automatic,0,39,ak,022brpkyls,",us7000i7rc,ak022brpkyls,",",us,ak,",",origin,phase-data,",,,0.48,,ml,earthquake,"M 1.6 - 67 km W of Tyonek, Alaska"
1.4,"8 km NNW of Harding-Birch Lakes, Alaska",1663099875630,1663100001292,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022brpjwln,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022brpjwln&format=geojson,,,,,automatic,0,30,ak,022brpjwln,",ak022brpjwln,",",ak,",",origin,phase-data,",,,0.55,,ml,earthquake,"M 1.4 - 8 km NNW of Harding-Birch Lakes, Alaska"
1.48,"2 km SSE of Mill Creek, Oklahoma",1663099739750,1663176538230,,https://earthquake.usgs.gov/earthquakes/eventpage/ok2022rzle,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ok2022rzle&format=geojson,1.0,2.7,,,reviewed,0,34,ok,2022rzle,",ok2022rzle,",",ok,",",dyfi,origin,phase-data,",41.0,0.3599293696,0.5,135.0,ml,quarry blast,"M 1.5 Quarry Blast - 2 km SSE of Mill Creek, Oklahoma"
1.37,"15 km SSE of Sunnyside, Utah",1663099685300,1663100876820,,https://earthquake.usgs.gov/earthquakes/eventpage/uu60514842,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60514842&format=geojson,,,,,reviewed,0,29,uu,60514842,",uu60514842,",",uu,",",origin,phase-data,",7.0,0.01865,0.14,197.0,ml,earthquake,"M 1.4 - 15 km SSE of Sunnyside, Utah"
1.89,"4 km SE of La Parguera, Puerto Rico",1663099437840,1663100045120,,https://earthquake.usgs.gov/earthquakes/eventpage/pr71371563,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr71371563&format=geojson,,,,,reviewed,0,55,pr,71371563,",pr71371563,",",pr,",",origin,phase-data,",5.0,,0.02,222.0,md,earthquake,"M 1.9 - 4 km SE of La Parguera, Puerto Rico"
4.3,"40 km S of Antofagasta, Chile",1663099046996,1663252987040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000i7r0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000i7r0&format=geojson,,,,,reviewed,0,284,us,7000i7r0,",us7000i7r0,",",us,",",origin,phase-data,",23.0,0.614,0.87,165.0,mb,earthquake,"M 4.3 - 40 km S of Antofagasta, Chile"
1.33,"5km N of Healdsburg, CA",1663098686680,1663256282808,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73781236,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73781236&format=geojson,,,,,reviewed,0,27,nc,73781236,",nc73781236,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",47.0,0.1002,0.05,87.0,md,earthquake,"M 1.3 - 5km N of Healdsburg, CA"
2.24,"3 km SSE of P?hala, Hawaii",1663098279480,1663098610860,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73139142,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73139142&format=geojson,,,,,automatic,0,77,hv,73139142,",hv73139142,",",hv,",",origin,phase-data,",38.0,,0.119999997,89.0,ml,earthquake,"M 2.2 - 3 km SSE of P?hala, Hawaii"
1.9,,1663098098231,1663123204649,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00847046,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00847046&format=geojson,,,,,reviewed,0,56,nn,00847046,",nn00847046,",",nn,",",origin,phase-data,",11.0,0.025,0.1443,124.49,ml,earthquake,M 1.9 - 
1.66,"5km NNE of San Ysidro, CA",1663097663280,1663099703350,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40099903,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40099903&format=geojson,,,,,reviewed,0,42,ci,40099903,",ci40099903,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",24.0,0.05652,0.21,124.0,ml,quarry blast,"M 1.7 Quarry Blast - 5km NNE of San Ysidro, CA"
1.76999998,"11 km ENE of P?hala, Hawaii",1663097630770,1663097904310,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73139122,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73139122&format=geojson,,,,,automatic,0,48,hv,73139122,",hv73139122,",",hv,",",origin,phase-data,",29.0,,0.150000006,158.0,md,earthquake,"M 1.8 - 11 km ENE of P?hala, Hawaii"
2.13,"7 km WSW of La Playa, Puerto Rico",1663097367620,1663098480690,,https://earthquake.usgs.gov/earthquakes/eventpage/pr71371558,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr71371558&format=geojson,,,,,reviewed,0,70,pr,71371558,",pr71371558,",",pr,",",origin,phase-data,",8.0,,0.17,238.0,md,earthquake,"M 2.1 - 7 km WSW of La Playa, Puerto Rico"
0.88,"6km N of Fontana, CA",1663097282330,1663099529331,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40099895,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40099895&format=geojson,,,,,reviewed,0,12,ci,40099895,",ci40099895,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",25.0,0.04513,0.15,90.0,ml,earthquake,"M 0.9 - 6km N of Fontana, CA"
1.77,"13 km ESE of P?hala, Hawaii",1663096829220,1663097159370,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73139112,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73139112&format=geojson,,,,,automatic,0,48,hv,73139112,",hv73139112,",",hv,",",origin,phase-data,",43.0,,0.129999995,182.0,ml,earthquake,"M 1.8 - 13 km ESE of P?hala, Hawaii"
1.3,"29 km NNE of Paxson, Alaska",1663096335807,1663096442441,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022broyoq4,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022broyoq4&format=geojson,,,,,automatic,0,26,ak,022broyoq4,",ak022broyoq4,",",ak,",",origin,phase-data,",,,0.52,,ml,earthquake,"M 1.3 - 29 km NNE of Paxson, Alaska"
1.35,"15 km SSE of Sunnyside, Utah",1663096249140,1663097611710,,https://earthquake.usgs.gov/earthquakes/eventpage/uu60514837,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60514837&format=geojson,,,,,reviewed,0,28,uu,60514837,",uu60514837,",",uu,",",origin,phase-data,",8.0,0.02279,0.14,184.0,ml,earthquake,"M 1.4 - 15 km SSE of Sunnyside, Utah"
0.77,"65 km W of Adak, Alaska",1663095688950,1663120946200,,https://earthquake.usgs.gov/earthquakes/eventpage/av91679916,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91679916&format=geojson,,,,,reviewed,0,9,av,91679916,",av91679916,",",av,",",origin,phase-data,",8.0,,0.14,155.0,ml,earthquake,"M 0.8 - 65 km W of Adak, Alaska"
1.7,"36 km NNW of Toyah, Texas",1663095184488,1663235378263,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2022rzir,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2022rzir&format=geojson,,,,,reviewed,0,44,tx,2022rzir,",tx2022rzir,",",tx,",",origin,phase-data,",35.0,0.008197360914,0.2,48.0,ml,earthquake,"M 1.7 - 36 km NNW of Toyah, Texas"
0.7,"89 km W of Adak, Alaska",1663094953500,1663119972770,,https://earthquake.usgs.gov/earthquakes/eventpage/av91679906,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91679906&format=geojson,,,,,reviewed,0,8,av,91679906,",av91679906,",",av,",",origin,phase-data,",5.0,,0.13,158.0,ml,earthquake,"M 0.7 - 89 km W of Adak, Alaska"
1.56,"10 km ESE of Markham, Washington",1663094835660,1663108601630,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61879921,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61879921&format=geojson,,,,,reviewed,0,37,uw,61879921,",uw61879921,",",uw,",",origin,phase-data,",15.0,0.09985,0.63,208.0,ml,explosion,"M 1.6 Explosion - 10 km ESE of Markham, Washington"
5.2,"108 km SE of Burica, Panama",1663094479226,1663257342674,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000i7qe,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000i7qe&format=geojson,8.0,6.1,,,reviewed,0,421,us,7000i7qe,",us7000i7qe,",",us,",",dyfi,moment-tensor,origin,phase-data,",175.0,1.546,0.88,55.0,mww,earthquake,"M 5.2 - 108 km SE of Burica, Panama"
5.1,southern Mid-Atlantic Ridge,1663094079158,1663253965040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000i7qg,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000i7qg&format=geojson,,,,,reviewed,0,400,us,7000i7qg,",us7000i7qg,",",us,",",origin,phase-data,",101.0,7.18,0.7,65.0,mww,earthquake,M 5.1 - southern Mid-Atlantic Ridge
1.8,"15 km SSE of Sunnyside, Utah",1663093672900,1663096962630,,https://earthquake.usgs.gov/earthquakes/eventpage/uu60514822,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60514822&format=geojson,,,,,reviewed,0,50,uu,60514822,",uu60514822,",",uu,",",origin,phase-data,",16.0,0.02195,0.19,185.0,ml,earthquake,"M 1.8 - 15 km SSE of Sunnyside, Utah"
